,Amount_Requested,Interest_Rate_Percentage,Loan_Length_in_Months,Loan_Purpose,Monthly_PAYMENT,Total_Amount_Funded,Debt_To_Income_Ratio_Percentage,Status
1032,13500,19.69,60,1,355.35,13500,15.08,0
1033,7000,6.17,60,4,102.89,5300,19,1
1034,15000,18.25,36,3,544.17,15000,19.66,1
1035,6000,15.23,60,1,143.47,6000,9.2,0
1036,5000,14.42,36,3,171.92,5000,1.96,0
1037,16000,15.31,36,1,557.05,16000,20.64,0
1038,15000,13.16,36,1,506.56,15000,6.52,1
1039,8000,7.29,36,2,248.08,8000,14.1,1
1040,6000,10.25,36,1,194.31,6000,16.33,1
1041,20000,10.99,36,1,654.71,20000,21.02,0
1042,6500,9.63,36,1,208.61,6500,11.03,1
1043,2200,15.23,36,1,76.52,2200,16.2,1
1044,20000,12.73,36,2,671.33,20000,12.41,1
1045,9000,6.54,36,4,172.51,5625,24.28,1
1046,6000,13.11,36,1,202.49,6000,30,1
1047,3000,9.63,36,6,96.29,3000,5.36,1
1048,12000,14.27,60,1,280.91,12000,7.26,0
1049,7500,15.99,36,1,263.65,7500,22.49,0
1050,20200,14.74,36,1,697.65,20200,10.19,1
1051,15000,15.33,36,1,522.41,15000,8.93,0
1052,12000,11.14,36,1,393.65,12000,23.2,0
1053,7325,17.8,60,1,185.22,7325,20.37,0
1054,15000,7.9,36,1,469.36,15000,12.72,1
1055,6825,8.32,36,5,149.55,4750,5.49,0
1056,12000,10.38,36,10,389.36,12000,18.28,1
1057,17000,15.81,36,1,596.08,17000,17.01,0
1058,24250,16.69,60,1,598.65,24250,11.47,1
1059,20000,16.69,60,1,493.73,20000,20.16,1
1060,15000,19.41,60,1,392.51,15000,16.3,0
1061,18000,7.51,36,5,560,18000,14.46,1
1062,10625,8.49,36,1,335.36,10625,16.98,0
1063,20000,13.98,60,14,325.62,14000,4.67,1
1064,11200,16.45,60,14,196.47,8000,24.41,0
1065,8000,12.99,36,1,269.52,8000,15.43,1
1066,10000,8.07,36,6,313.67,10000,0.72,1
1067,35000,22.74,60,1,981.45,35000,16.94,1
1068,16000,16.82,60,1,396.1,16000,22.56,0
1069,4000,12.36,36,1,133.55,4000,9.48,1
1070,3000,9.32,36,1,95.85,3000,6.9,1
1071,7000,10.99,36,1,229.14,7000,6.2,0
1072,6000,11.46,36,2,197.75,6000,13.73,0
1073,25000,20.16,36,3,931.09,25000,8.04,0
1074,12000,10.74,36,3,391.39,12000,18.24,1
